Supplier,Supplier_Lot,Part_No,VIN
SUP-01,LOT-2080,127-DEF,2KA***********6NR
SUP-09,LOT-1320,870-DEF,09G***********DYS
SUP-01,LOT-9871,542-GHI,ZKF***********82B
SUP-02,LOT-8128,405-JKL,D9P***********Y3V
SUP-02,LOT-2827,267-DEF,5XU***********85L
SUP-01,LOT-6493,337-JKL,3U7***********9ZL
SUP-09,LOT-9386,461-GHI,6MM***********MZ7
SUP-09,LOT-2657,692-DEF,TYL***********BXN
SUP-01,LOT-3462,776-JKL,M6X***********VAX
SUP-02,LOT-4604,677-GHI,8TC***********XYH
SUP-09,LOT-3741,483-ABC,HSV***********E6V
SUP-01,LOT-1207,666-GHI,0JZ***********G1Z
SUP-02,LOT-8076,291-GHI,B5Z***********XTU
SUP-09,LOT-2084,978-JKL,3VN***********M01
SUP-01,LOT-7387,427-ABC,V7N***********18J
SUP-01,LOT-8479,730-GHI,DN6***********7C0
SUP-09,LOT-8550,264-JKL,NVG***********NXA
SUP-09,LOT-9726,661-GHI,2Z8***********F3X
SUP-09,LOT-7450,886-ABC,FJ1***********CN7
SUP-02,LOT-8985,350-DEF,52X***********T0E
SUP-09,LOT-7062,970-DEF,3T6***********DTP
SUP-01,LOT-8824,914-GHI,FGT***********LKB
SUP-09,LOT-3270,889-DEF,6YP***********S1Z
SUP-01,LOT-7728,153-DEF,TTV***********2RT
SUP-09,LOT-6308,998-DEF,9WG***********FJ1
SUP-02,LOT-2975,298-GHI,2C4***********MW6
SUP-09,LOT-2146,308-GHI,AWC***********U64
SUP-02,LOT-2419,843-DEF,MF5***********TRH
SUP-01,LOT-1263,294-JKL,MTM***********S7F
SUP-01,LOT-2640,434-ABC,025***********9MF
SUP-09,LOT-6495,889-DEF,85L***********K94
SUP-02,LOT-6781,765-ABC,G2D***********3SD
SUP-09,LOT-2511,553-ABC,ERM***********UN1
SUP-02,LOT-5240,178-ABC,9PF***********DDP
SUP-01,LOT-4675,968-GHI,USP***********NL5
SUP-02,LOT-1726,620-DEF,KHP***********GAV
SUP-01,LOT-9943,326-DEF,EMB***********HSF
SUP-09,LOT-2547,416-GHI,6SJ***********5RL
SUP-01,LOT-3594,795-JKL,W83***********NHV
SUP-09,LOT-6179,852-GHI,HV9***********5EY
SUP-09,LOT-3629,346-JKL,PRB***********L6L
SUP-02,LOT-5181,927-GHI,JN1***********RGA
SUP-09,LOT-4739,608-ABC,Y8K***********RG1
SUP-02,LOT-9083,965-ABC,0TD***********RJH
SUP-01,LOT-4037,651-DEF,FKH***********MSE
SUP-09,LOT-2943,375-JKL,VSJ***********1L3
SUP-01,LOT-3939,105-JKL,H64***********N1R
SUP-09,LOT-3849,579-JKL,RB1***********JMS
SUP-02,LOT-6880,240-GHI,BPN***********AGM
SUP-02,LOT-5355,956-DEF,LL9***********FWV
SUP-01,LOT-6796,950-GHI,CY6***********TJV
SUP-09,LOT-4702,429-ABC,NGR***********SZJ
SUP-09,LOT-3305,630-GHI,S0C***********428
SUP-09,LOT-2438,983-JKL,1MV***********U82
SUP-02,LOT-5059,803-DEF,YVP***********EE1
SUP-09,LOT-9143,317-JKL,3R9***********FK8
SUP-02,LOT-3539,573-ABC,RF0***********JRM
SUP-01,LOT-8625,567-JKL,4UB***********5WP
SUP-02,LOT-4501,361-JKL,N8W***********1FF
SUP-01,LOT-1112,754-GHI,TG7***********3D6
SUP-09,LOT-2898,399-GHI,UFA***********BZ6
SUP-09,LOT-1131,848-JKL,NMK***********R2T
SUP-01,LOT-6306,322-DEF,PNJ***********C8T
SUP-09,LOT-5597,852-JKL,T99***********WX2
SUP-02,LOT-9337,238-DEF,YU1***********EJW
SUP-01,LOT-9630,710-DEF,0UH***********M0D
SUP-02,LOT-5089,129-DEF,FG8***********DP3
SUP-09,LOT-3335,361-GHI,ES3***********X5V
SUP-01,LOT-7962,369-ABC,Z5Y***********A87
SUP-01,LOT-5513,893-JKL,STY***********NWF
SUP-02,LOT-6428,213-ABC,8U0***********EJ6
SUP-09,LOT-8762,894-DEF,P8N***********YC7
SUP-02,LOT-9786,189-DEF,89J***********NYM
SUP-09,LOT-3328,712-JKL,2GH***********UD8
SUP-09,LOT-2095,244-DEF,21F***********5XD
SUP-09,LOT-4389,369-JKL,UP5***********LLJ
SUP-02,LOT-1143,670-JKL,ZN5***********KEU
SUP-02,LOT-8541,138-GHI,30S***********RC6
SUP-02,LOT-6029,146-ABC,CLM***********W0G
SUP-02,LOT-1779,312-ABC,BB7***********3Y0
SUP-09,LOT-5840,993-DEF,708***********XPL
SUP-01,LOT-5434,285-DEF,BDH***********GDX
SUP-09,LOT-9497,304-JKL,6NU***********229
SUP-01,LOT-7573,601-ABC,4AT***********7XC
SUP-01,LOT-4874,469-JKL,SAH***********BYJ
SUP-02,LOT-9014,710-JKL,T5E***********6PV
SUP-02,LOT-8512,487-DEF,9B9***********1FJ
SUP-09,LOT-8769,227-JKL,R8U***********4GS
SUP-09,LOT-6180,937-JKL,AJW***********NCA
SUP-01,LOT-4967,308-DEF,3BJ***********FBC
SUP-09,LOT-6776,520-JKL,FDS***********J2P
SUP-09,LOT-1292,148-GHI,APB***********842
SUP-02,LOT-4264,197-ABC,3CW***********GSK
SUP-09,LOT-9923,481-DEF,EGN***********ZNS
SUP-02,LOT-7041,396-ABC,E3W***********L2V
SUP-09,LOT-8994,233-GHI,B89***********BF3
SUP-09,LOT-5625,453-ABC,HCG***********MPZ
SUP-02,LOT-3100,766-JKL,MNS***********S1C
SUP-01,LOT-6123,744-ABC,CXH***********EF6
SUP-01,LOT-6775,771-GHI,KN1***********BV6
SUP-02,LOT-9351,246-ABC,5AX***********EJ8
SUP-02,LOT-7535,964-GHI,KH3***********MAP
SUP-02,LOT-7550,298-GHI,BES***********FPM
SUP-02,LOT-6553,476-JKL,Z8J***********CF9
SUP-02,LOT-6231,842-ABC,BR1***********GPG
SUP-02,LOT-3404,823-GHI,FUN***********TXJ
SUP-01,LOT-5474,361-ABC,Z3U***********CEX
SUP-02,LOT-7099,474-JKL,ZJS***********MW0
SUP-02,LOT-5437,188-GHI,D8P***********C7E
SUP-09,LOT-1733,854-ABC,APY***********CZF
SUP-09,LOT-7461,836-JKL,A0G***********7G3
SUP-01,LOT-8529,193-JKL,WSC***********3NV
SUP-09,LOT-8453,437-ABC,D3R***********8EY
SUP-02,LOT-2543,396-DEF,MS2***********KR0
SUP-02,LOT-3713,940-DEF,EM0***********ZB5
SUP-02,LOT-6438,160-DEF,GDL***********MYT
SUP-09,LOT-2890,836-JKL,GMH***********459
SUP-01,LOT-6142,633-JKL,V36***********SVR
SUP-01,LOT-3162,983-DEF,JLV***********XUG
SUP-01,LOT-9100,327-ABC,ED9***********DMT
SUP-09,LOT-8254,606-GHI,LFY***********8TU
SUP-02,LOT-9719,164-JKL,RAU***********ZGH
SUP-02,LOT-5608,141-JKL,RUJ***********1UB
SUP-09,LOT-6816,187-JKL,9DX***********4PJ
SUP-02,LOT-9186,253-GHI,E52***********SG0
SUP-09,LOT-7864,759-DEF,40C***********FSL
SUP-02,LOT-6203,850-JKL,8ML***********1HV
SUP-01,LOT-5495,996-GHI,N1R***********R4H
SUP-01,LOT-9622,662-GHI,T8U***********SSX
SUP-02,LOT-2990,615-JKL,MB4***********PB9
SUP-01,LOT-5753,721-DEF,ZSW***********3PZ
SUP-09,LOT-4373,977-GHI,TNJ***********TBX
SUP-02,LOT-5928,575-JKL,E8P***********DWG
SUP-09,LOT-3442,802-DEF,TZ0***********9R2
SUP-01,LOT-4111,923-JKL,UZ6***********D0G
SUP-02,LOT-4531,177-JKL,97S***********7MT
SUP-01,LOT-7446,929-GHI,MJH***********RH9
SUP-09,LOT-4011,291-ABC,V24***********AZN
SUP-02,LOT-4324,851-JKL,6UA***********ZS5
SUP-09,LOT-9172,444-JKL,MN3***********PW4
SUP-09,LOT-3642,235-DEF,4N9***********80T
SUP-01,LOT-2612,541-JKL,6CM***********PNU
SUP-09,LOT-3459,673-GHI,D46***********HSG
SUP-01,LOT-8666,817-GHI,S13***********B7F
SUP-09,LOT-1403,846-GHI,FFV***********E2H
SUP-01,LOT-9589,439-JKL,YUM***********RXZ
SUP-01,LOT-1579,952-ABC,FEN***********72T
SUP-01,LOT-6770,889-GHI,ULN***********E2N
SUP-02,LOT-2019,670-DEF,23X***********SCM
SUP-01,LOT-5518,620-ABC,PX2***********E44
SUP-01,LOT-7885,834-ABC,600***********WRY
SUP-02,LOT-9393,814-ABC,XR7***********AR3
SUP-01,LOT-8246,960-JKL,W4T***********968
SUP-01,LOT-4220,515-JKL,400***********XKK
SUP-02,LOT-2355,915-DEF,ZSN***********2XZ
SUP-01,LOT-8217,759-DEF,S3V***********RYD
SUP-02,LOT-5859,859-JKL,BEF***********E8P
SUP-01,LOT-1144,323-JKL,25H***********3BB
SUP-09,LOT-3942,989-DEF,LC7***********2JA
SUP-01,LOT-1894,164-ABC,AN3***********9UF
SUP-09,LOT-5308,874-JKL,9FV***********TYS
SUP-02,LOT-1690,375-GHI,NHW***********CPG
SUP-02,LOT-5264,419-JKL,DAT***********4JL
SUP-01,LOT-3706,182-ABC,PB7***********N50
SUP-01,LOT-3581,444-GHI,BC8***********J2V
SUP-09,LOT-1146,725-JKL,TA9***********4K8
SUP-01,LOT-7419,105-GHI,1ZA***********HFX
SUP-01,LOT-6124,608-GHI,MCU***********5ZY
SUP-09,LOT-4745,553-GHI,AW8***********FGC
SUP-09,LOT-2914,641-DEF,ST6***********1Z5
SUP-01,LOT-4942,565-DEF,XR9***********WX0
SUP-09,LOT-5594,897-ABC,CSY***********F01
SUP-01,LOT-8551,611-JKL,BAR***********2DP
SUP-09,LOT-1818,422-JKL,SDP***********P6U
SUP-02,LOT-8357,127-DEF,EHT***********FAW
SUP-09,LOT-9803,995-DEF,HHT***********5F1
SUP-02,LOT-1518,341-ABC,H28***********5H5
SUP-01,LOT-9260,528-JKL,KDW***********0G9
SUP-09,LOT-7684,973-JKL,LDY***********1DF
SUP-02,LOT-2592,229-DEF,M4V***********2FH
SUP-09,LOT-8427,476-DEF,B72***********YHJ
SUP-01,LOT-4915,414-GHI,REP***********E0M
SUP-01,LOT-6253,337-GHI,JTB***********W5R
SUP-02,LOT-3275,648-DEF,SXH***********ELE
SUP-02,LOT-2292,259-GHI,5ZW***********VFD
SUP-02,LOT-6671,295-DEF,A07***********PRF
SUP-01,LOT-4143,881-DEF,R17***********1WH
SUP-01,LOT-4921,419-JKL,RYK***********EDF
SUP-02,LOT-1064,528-GHI,AD0***********4WP
SUP-02,LOT-3897,131-JKL,WNX***********9TG
SUP-09,LOT-8143,705-DEF,MR9***********C70
SUP-02,LOT-3989,721-GHI,2DE***********S2M
SUP-09,LOT-7646,593-DEF,NST***********9LJ
SUP-02,LOT-5275,377-GHI,NW3***********MKH
SUP-02,LOT-5295,910-ABC,VHN***********GUW
SUP-09,LOT-5965,569-GHI,E9M***********0LJ
SUP-01,LOT-7316,283-GHI,RDV***********HXA
SUP-02,LOT-1795,429-GHI,71V***********8KA
SUP-09,LOT-3435,202-ABC,694***********KMR
SUP-01,LOT-6827,568-ABC,91T***********8BX
SUP-02,LOT-1767,671-ABC,1NJ***********CET
SUP-01,LOT-5441,140-ABC,UE4***********BP8
SUP-01,LOT-7930,924-ABC,147***********YJC
SUP-01,LOT-2450,818-ABC,X4V***********YLJ
SUP-01,LOT-4028,411-DEF,E4P***********S32
SUP-01,LOT-6171,367-JKL,N4M***********K1C
SUP-01,LOT-6752,829-ABC,TKW***********SL0
SUP-09,LOT-2767,372-ABC,WYN***********KRX
SUP-02,LOT-8626,366-GHI,JD5***********4PM
SUP-09,LOT-6675,805-GHI,2K7***********WP0
SUP-09,LOT-9342,916-GHI,WVB***********00E
SUP-01,LOT-3886,482-JKL,406***********J94
SUP-02,LOT-3079,830-DEF,W5W***********EJL
SUP-01,LOT-5840,558-DEF,564***********KZ6
SUP-09,LOT-7552,518-ABC,KL2***********WEV
SUP-09,LOT-6766,995-JKL,NAN***********P8R
SUP-09,LOT-4125,489-JKL,M5T***********XGG
SUP-02,LOT-9992,493-DEF,WLD***********MJ2
SUP-09,LOT-2605,870-DEF,75M***********CML
SUP-01,LOT-1782,426-ABC,9P9***********HUY
SUP-09,LOT-9407,393-DEF,EAD***********WZY
SUP-01,LOT-8394,567-GHI,1CS***********EWL
SUP-02,LOT-6742,739-GHI,PVY***********TZT
SUP-02,LOT-7481,246-DEF,GN1***********1S0
SUP-02,LOT-9486,509-DEF,F9Y***********9F3
SUP-02,LOT-3819,499-GHI,804***********4RG
SUP-09,LOT-2816,664-DEF,KA5***********9VP
SUP-01,LOT-1449,783-DEF,CDS***********039
SUP-02,LOT-2126,332-ABC,BTK***********L4F
SUP-01,LOT-7040,557-ABC,59D***********VMD
SUP-01,LOT-6287,782-JKL,18V***********XNY
SUP-02,LOT-2912,478-GHI,Y9J***********7XY
SUP-02,LOT-7982,290-GHI,VPD***********V71
SUP-09,LOT-3915,402-ABC,9VJ***********61W
SUP-02,LOT-1792,638-GHI,VJ4***********8FY
SUP-09,LOT-5489,952-DEF,J3R***********800
SUP-02,LOT-4779,378-DEF,EAF***********9SP
SUP-09,LOT-4031,636-DEF,SGR***********KTP
SUP-09,LOT-8115,644-GHI,ZY3***********GY7
SUP-01,LOT-9427,442-DEF,GEU***********SZ0
SUP-01,LOT-8790,178-DEF,AT8***********5NH
SUP-02,LOT-2844,326-JKL,ZMN***********XNN
SUP-09,LOT-2833,234-JKL,LFT***********JJZ
SUP-01,LOT-2479,725-JKL,F17***********PUF
SUP-09,LOT-9372,479-DEF,564***********W4U
SUP-02,LOT-1772,707-ABC,8JU***********LB1
SUP-02,LOT-7338,338-DEF,81T***********LA8
SUP-01,LOT-5080,586-JKL,E56***********Y59
SUP-09,LOT-4518,565-ABC,LJ6***********2DV
SUP-09,LOT-7175,178-JKL,9VV***********4D0
SUP-02,LOT-5758,700-JKL,0ZX***********1Y5
SUP-02,LOT-8503,976-DEF,SJN***********5T6
SUP-09,LOT-7652,930-ABC,UK9***********B36
SUP-09,LOT-9802,874-JKL,BYA***********47X
SUP-09,LOT-7957,879-GHI,T2W***********879
SUP-09,LOT-1203,596-DEF,MXA***********X5N
SUP-09,LOT-4482,930-ABC,RWK***********6P6
SUP-01,LOT-2397,692-DEF,BED***********F2J
SUP-01,LOT-5485,430-GHI,T63***********08J
SUP-01,LOT-7202,598-DEF,8VF***********YM6
SUP-09,LOT-9844,285-JKL,59G***********SD0
SUP-01,LOT-6337,148-GHI,8P1***********0JP
SUP-02,LOT-5243,316-ABC,614***********DXC
SUP-02,LOT-4256,544-DEF,20E***********WER
SUP-01,LOT-8700,427-DEF,530***********9FZ
SUP-01,LOT-5390,409-JKL,ZY8***********L4A
SUP-01,LOT-4216,194-ABC,Z4V***********6RE
SUP-02,LOT-2020,500-GHI,2C1***********YJY
SUP-09,LOT-5678,600-ABC,026***********D4A
SUP-09,LOT-3334,341-DEF,BKA***********FZF
SUP-09,LOT-6589,692-ABC,WGJ***********DN0
SUP-02,LOT-4622,403-GHI,2WE***********90M
SUP-02,LOT-3956,991-JKL,ANA***********HME
SUP-09,LOT-4738,413-JKL,J23***********FNX
SUP-01,LOT-2086,749-DEF,6HD***********HRK
SUP-02,LOT-9094,770-JKL,55K***********8T8
SUP-02,LOT-7288,945-JKL,3UW***********5NR
SUP-09,LOT-6587,434-GHI,7HG***********MYP
SUP-09,LOT-8125,610-ABC,DBA***********1NL
SUP-02,LOT-3655,413-ABC,65J***********RVL
SUP-01,LOT-9355,838-ABC,HM1***********D3D
SUP-02,LOT-5454,364-ABC,8BJ***********70F
SUP-09,LOT-9403,876-GHI,RHA***********Z3C
SUP-02,LOT-4609,143-GHI,GR5***********R20
SUP-02,LOT-3549,732-ABC,6FR***********2R6
SUP-09,LOT-6964,802-JKL,XXK***********7FN
SUP-02,LOT-3021,420-DEF,8PT***********Z0G
SUP-09,LOT-1968,347-JKL,7NW***********2VJ
SUP-09,LOT-5817,784-JKL,KRX***********7LY
SUP-09,LOT-8499,989-DEF,AWX***********KW7
SUP-02,LOT-3184,980-ABC,15J***********GCV
SUP-09,LOT-3789,765-GHI,W3M***********9TE
SUP-02,LOT-5332,530-GHI,C01***********N4F
SUP-09,LOT-9699,650-GHI,1X0***********PND
SUP-09,LOT-7117,685-ABC,MBS***********FD2
SUP-02,LOT-3502,725-DEF,X2P***********J8S
SUP-02,LOT-2297,763-GHI,6MJ***********SH7
SUP-02,LOT-1753,262-ABC,ESF***********C85
SUP-09,LOT-2772,320-DEF,76A***********JGZ
SUP-09,LOT-7273,804-DEF,5D3***********BSW
SUP-01,LOT-9114,592-JKL,9GL***********143
SUP-02,LOT-3664,608-DEF,Z4F***********P9L
SUP-01,LOT-4363,827-ABC,1TV***********EUH
SUP-09,LOT-9391,847-GHI,2AX***********BH8
SUP-01,LOT-5468,248-JKL,KM7***********ALL
SUP-01,LOT-4975,143-DEF,X7G***********8DC
SUP-09,LOT-4164,307-DEF,T4F***********SH9
SUP-02,LOT-9742,593-ABC,XNR***********26J
SUP-01,LOT-4658,962-JKL,3YN***********RA5
SUP-02,LOT-6268,504-GHI,3PJ***********JC4
SUP-01,LOT-7936,309-JKL,M97***********FK8
SUP-01,LOT-3073,508-GHI,FYK***********6NX
SUP-01,LOT-6352,622-GHI,FCH***********FWC
SUP-01,LOT-4398,571-ABC,K8A***********9SP
SUP-01,LOT-7507,605-ABC,9TT***********LAZ
SUP-09,LOT-5772,810-GHI,4Z9***********HB2
SUP-01,LOT-7300,515-DEF,N0K***********U64
SUP-01,LOT-1808,339-ABC,RKX***********H44
SUP-02,LOT-8227,165-ABC,X7N***********2ZB
SUP-02,LOT-5223,154-GHI,AMD***********9UA
SUP-02,LOT-9983,408-GHI,FH0***********1NG
SUP-09,LOT-9321,110-GHI,VE7***********UZS
SUP-01,LOT-8009,436-DEF,8AH***********MKT
SUP-02,LOT-2787,542-ABC,2RV***********89J
SUP-01,LOT-7525,833-JKL,F6B***********NJP
SUP-02,LOT-1126,941-DEF,YK7***********VHV
SUP-01,LOT-1343,691-DEF,MC5***********JTT
SUP-01,LOT-4200,410-ABC,6FW***********A12
SUP-01,LOT-5364,200-GHI,LPV***********9J6
SUP-02,LOT-2121,475-DEF,WVB***********HWB
SUP-09,LOT-4231,953-DEF,GMV***********AW9
SUP-09,LOT-4401,260-ABC,T7K***********BGH
SUP-09,LOT-7580,110-GHI,7EP***********ALT
SUP-01,LOT-9450,721-DEF,J1B***********CRW
SUP-09,LOT-8166,130-ABC,75P***********G8V
SUP-02,LOT-3158,457-DEF,64D***********TCS
SUP-09,LOT-3166,330-DEF,H4D***********VSY
SUP-01,LOT-9576,337-JKL,FGP***********AYY
SUP-09,LOT-3602,130-GHI,U05***********2AN
SUP-02,LOT-1379,837-GHI,ZNF***********K8V
SUP-02,LOT-5574,611-ABC,7KU***********3ZT
SUP-09,LOT-4881,375-DEF,W1Z***********220
SUP-02,LOT-9071,837-ABC,YEK***********NM0
SUP-09,LOT-1676,615-JKL,6FN***********52S
SUP-01,LOT-4387,509-ABC,FJZ***********YBM
SUP-01,LOT-5042,583-DEF,A8V***********D4Y
SUP-09,LOT-8773,963-JKL,942***********9MN
SUP-01,LOT-4335,595-GHI,58G***********SKK
SUP-01,LOT-4377,776-GHI,VJT***********FY2
SUP-02,LOT-7967,653-JKL,VFF***********GWZ
SUP-02,LOT-9558,362-ABC,KZY***********N0V
SUP-02,LOT-6727,265-ABC,HC1***********5WF
SUP-02,LOT-5425,576-DEF,2LA***********CDU
SUP-01,LOT-4642,369-DEF,7NC***********AAB
SUP-09,LOT-1575,708-DEF,JVV***********7SW
SUP-02,LOT-8215,222-JKL,1JP***********9D1
SUP-09,LOT-9728,783-ABC,38V***********93Y
SUP-09,LOT-6353,663-JKL,0Z9***********MMZ
SUP-02,LOT-5561,430-JKL,FS1***********4P1
SUP-02,LOT-3502,396-GHI,8MK***********5FE
SUP-02,LOT-3242,755-ABC,PFU***********HCF
SUP-02,LOT-9506,362-DEF,7ES***********JYB
SUP-01,LOT-3610,399-JKL,52F***********GJL
SUP-09,LOT-3737,658-GHI,HWR***********FVR
SUP-09,LOT-4667,325-ABC,UBV***********4PE
SUP-02,LOT-5328,395-GHI,SZC***********95E
SUP-02,LOT-3784,610-GHI,XMN***********FVH
SUP-09,LOT-6092,684-ABC,9SA***********ZBF
SUP-02,LOT-7402,750-JKL,PU4***********H4N
SUP-09,LOT-3432,755-GHI,TMU***********E44
SUP-02,LOT-4418,173-JKL,9LG***********9R4
SUP-01,LOT-8896,297-DEF,DTE***********MCX
SUP-01,LOT-7127,574-JKL,E1X***********FNT
SUP-01,LOT-4220,202-JKL,Z8W***********R4K
SUP-09,LOT-5494,171-JKL,YXG***********Z38
SUP-09,LOT-8420,417-DEF,Z0T***********SRC
SUP-09,LOT-7690,890-ABC,4GM***********KFT
SUP-01,LOT-2417,598-JKL,1RC***********ZVX
SUP-09,LOT-2298,778-JKL,EBM***********EUK
SUP-02,LOT-5592,476-JKL,DEY***********PSP
SUP-01,LOT-5238,191-GHI,9HC***********THR
SUP-02,LOT-2601,735-ABC,CZV***********DL2
SUP-02,LOT-4966,407-GHI,ZJT***********YGE
SUP-01,LOT-5346,982-ABC,BG6***********V2H
SUP-09,LOT-2839,450-ABC,5XY***********5Z8
SUP-09,LOT-3273,778-JKL,HUS***********27B
SUP-02,LOT-8508,746-DEF,P24***********ZA9
SUP-09,LOT-4624,821-ABC,71B***********NJ2
SUP-02,LOT-8765,161-ABC,WB4***********0AY
SUP-01,LOT-4776,944-JKL,TDF***********3U8
SUP-02,LOT-2273,886-ABC,TJ2***********RWH
SUP-01,LOT-9380,212-ABC,6WN***********5Z5
SUP-01,LOT-3641,360-GHI,33V***********ZWN
SUP-02,LOT-3664,864-GHI,CR8***********3EW
SUP-02,LOT-2414,816-GHI,JRN***********WA8
SUP-01,LOT-4724,318-ABC,XCK***********2Z2
SUP-02,LOT-4361,392-GHI,8E7***********K2S
SUP-01,LOT-9882,768-DEF,P9P***********G2T
SUP-02,LOT-4758,265-GHI,T7V***********HN0
SUP-02,LOT-4947,204-DEF,YH3***********8HJ
SUP-01,LOT-6970,893-JKL,D2B***********8E0
SUP-02,LOT-3898,737-ABC,AUR***********2MZ
SUP-02,LOT-1761,745-ABC,050***********ANJ
SUP-09,LOT-6008,345-GHI,32D***********AUU
SUP-09,LOT-6987,181-GHI,2BJ***********Y2M
SUP-09,LOT-9854,128-ABC,ACS***********G5N
SUP-09,LOT-2755,889-DEF,DL6***********ZWD
SUP-01,LOT-1185,180-DEF,B86***********TY6
SUP-02,LOT-5244,421-JKL,16F***********8GS
SUP-09,LOT-4099,457-JKL,RE2***********6YR
SUP-09,LOT-2587,784-ABC,TBX***********DJD
SUP-09,LOT-4047,387-DEF,XUE***********PJ8
SUP-01,LOT-8444,927-DEF,W3V***********0NB
SUP-09,LOT-3903,471-DEF,MT2***********M8A
SUP-02,LOT-4029,311-GHI,8N9***********WEF
SUP-01,LOT-8440,401-GHI,PVC***********CE1
SUP-02,LOT-8743,193-ABC,3HL***********UTW
SUP-02,LOT-7793,269-DEF,PUB***********9VV
SUP-01,LOT-2426,645-GHI,GHJ***********ADP
SUP-02,LOT-1775,829-ABC,CGY***********19C
SUP-01,LOT-9937,973-DEF,4P9***********V6U
SUP-01,LOT-2080,959-GHI,NVH***********GZT
SUP-09,LOT-1561,167-ABC,L4V***********10F
SUP-02,LOT-7728,316-JKL,XSX***********BW0
SUP-02,LOT-2927,456-ABC,WHX***********ML2
SUP-02,LOT-2884,760-DEF,T87***********2CW
SUP-09,LOT-7438,260-GHI,5XF***********6VM
SUP-01,LOT-5844,318-GHI,BXF***********JDR
SUP-09,LOT-7419,417-ABC,WV9***********L01
SUP-09,LOT-8483,274-JKL,XXD***********SPY
SUP-02,LOT-1426,368-DEF,S91***********650
SUP-02,LOT-5395,819-JKL,V3R***********8DF
SUP-02,LOT-1665,963-DEF,3Z6***********20F
SUP-09,LOT-1714,853-ABC,ZDM***********1B0
SUP-02,LOT-6892,913-JKL,H1K***********R9F
SUP-01,LOT-5287,808-GHI,JC2***********8WK
SUP-01,LOT-8691,271-GHI,C70***********M6C
SUP-02,LOT-9906,728-ABC,B96***********4RR
SUP-01,LOT-9997,977-GHI,RZK***********0B7
SUP-01,LOT-5189,449-JKL,GTM***********MW2
SUP-02,LOT-7602,384-JKL,JGY***********924
SUP-02,LOT-9018,413-GHI,39H***********YYC
SUP-01,LOT-8252,508-ABC,RA2***********7XV
SUP-09,LOT-9228,612-JKL,N1B***********DFT
SUP-01,LOT-3202,940-ABC,S2R***********VGN
SUP-01,LOT-2182,566-ABC,8YW***********5JL
SUP-09,LOT-8811,362-ABC,9PA***********0E5
SUP-02,LOT-9537,696-JKL,4EJ***********SWE
SUP-09,LOT-6455,712-DEF,DKE***********EWT
SUP-01,LOT-5519,797-DEF,W60***********A39
SUP-02,LOT-5451,486-ABC,T02***********AJS
SUP-02,LOT-8971,105-JKL,DA8***********UA4
SUP-01,LOT-9099,185-JKL,1S6***********WG2
SUP-02,LOT-2443,903-JKL,05N***********EEJ
SUP-01,LOT-6487,362-DEF,L89***********35B
SUP-01,LOT-2817,222-JKL,0YA***********AL5
SUP-01,LOT-4028,402-ABC,YN8***********FMU
SUP-02,LOT-4468,806-DEF,122***********08X
SUP-02,LOT-6143,824-JKL,NL9***********Z34
SUP-09,LOT-9572,381-GHI,1G1***********R9W
SUP-09,LOT-8482,649-JKL,VW5***********AGN
SUP-09,LOT-3942,817-JKL,U8L***********WXR
SUP-01,LOT-2543,990-JKL,3X5***********E3V
SUP-02,LOT-2362,339-GHI,Z1R***********FMS
SUP-02,LOT-5409,147-JKL,562***********SJF
SUP-02,LOT-1660,300-GHI,DTH***********MNS
SUP-02,LOT-3290,187-GHI,TU5***********DFA
SUP-09,LOT-7505,789-JKL,WGW***********AK3
SUP-02,LOT-1558,324-DEF,RCZ***********EDS
SUP-01,LOT-6092,437-ABC,F2F***********NB8
SUP-09,LOT-5978,110-ABC,BU1***********UD8
SUP-01,LOT-7595,106-GHI,563***********BYC
SUP-02,LOT-3978,202-DEF,P6Y***********CFF
SUP-02,LOT-1436,885-JKL,LKR***********8FX
SUP-02,LOT-5972,380-JKL,UK4***********557
SUP-09,LOT-8259,363-DEF,8WC***********WL3
SUP-01,LOT-1940,813-DEF,AF1***********9JY
SUP-01,LOT-9626,451-GHI,KB4***********KSB
SUP-01,LOT-3261,752-GHI,NK1***********B1S
SUP-02,LOT-5659,459-ABC,NK3***********CBJ
SUP-02,LOT-8086,507-DEF,PSH***********GVK
SUP-09,LOT-8361,846-DEF,B4M***********2FX
SUP-02,LOT-4785,499-DEF,UJC***********C6L
SUP-02,LOT-4611,657-DEF,XAH***********L0G
SUP-09,LOT-5782,399-JKL,TKG***********M15
SUP-02,LOT-2969,514-JKL,7A2***********TGK
SUP-02,LOT-8761,179-ABC,ETR***********ZP8
SUP-02,LOT-9832,972-JKL,NJC***********AR7
SUP-02,LOT-8186,541-ABC,AN7***********E7K
SUP-02,LOT-1758,662-JKL,EJY***********TTV
SUP-09,LOT-9080,634-DEF,VZF***********TUL
SUP-01,LOT-1778,747-GHI,0SC***********CMP
SUP-02,LOT-3005,560-DEF,B1P***********GF4
SUP-09,LOT-5870,916-GHI,3RV***********EPB
SUP-09,LOT-6596,254-DEF,E7B***********GVR
SUP-01,LOT-6066,131-DEF,Y37***********CFR
SUP-02,LOT-5621,874-DEF,P67***********6YV
SUP-01,LOT-4033,102-ABC,JRU***********3HS
SUP-02,LOT-9695,518-DEF,8L3***********0UD
SUP-09,LOT-9164,481-GHI,4M9***********CUJ
SUP-01,LOT-8525,692-ABC,VFS***********5XD
