Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier
539,ga-1,stn-06,2026-03-10 10:29,600abc,BOM-2,48.9 Nm,,12.4 bar,53.33,na,Automated,TL-005,sup-01
540,ga-1,STN-02,2026-03-10 10:29,612-def,BOM-3,38.1Nm,80.7C,148.9psi,51.47,Repair,Automated,TL-014,sup-02
541, Ga-2 , STN-06 ,2026-03-10 10:70,185ghi,BOM-1,44.3 Nm,85.3C,8.4 bar,58.07,na,HUMAN,TL-012,SUP-09
542, Ga-1 ,stn-01,2026-03-10 10:30,463-ghi,BOM-2,54.7Nm,182.6F,137.6psi,63.57,REJ,Human,TL-005,
543,ga-1, STN-01 ,2026/03/10 10:31,679-def,BOM-2,56.0 Nm,74.0,6.7 bar,54.21,Repair,Human,TL-019,SUP-01
544,GA-2, STN-03 ,2026/03/10 10:31,149abc,BOM-3,57.0,,9.9 bar,50.63,Reject,human,TL-019,sup-01
545, Ga-2 ,stn-06,2026-03-10 10:32,977-DEF,BOM-3,52.2,70.0,12.5 bar,51.05,Repair,Automated,TL-007,sup-02
546,ga-1,stn-01,10-03-2026 10:32,873abc,BOM-2,,73.7C,8.2 bar,53.42,REJ,AUTO,TL-021,sup-01
547,GA-1, STN-06 ,2026-03-10 10:33,672-ghi,BOM-3,46.8 Nm,173.6F,7.8 bar,55.47,REJ,Automated,TL-015,sup-01
548, Ga-1 ,STN-02,2026-03-10 10:33,114-ghi,BOM-2,56.6 Nm,83.0 c,9.0 bar,49.02,Reject,Automated,TL-005,SUP-09
549,ga-1, STN-01 ,2026-03-10 10:34,565-ghi,BOM-2,58.1,76.8 c,11.4 bar,55.54,Reject,human,TL-007,SUP-01
550, Ga-1 ,STN-01,2026-03-10 10:34,907abc,BOM-1,56.8 Nm,92.3,182.1psi,72.36,na,AUTO,TL-001,sup-09
551,ga-2,STN-04,2026-03-10 10:35,120-DEF,BOM-1,48.8 Nm,83.0,10.7 bar,57.05,REP,automated,TL-014,SUP-02
552,ga-1,stn-06,2026-03-10 10:35,811-GHI,BOM-1,43.5 Nm,80.8 c,117.0psi,47.61,REJ,Human,TL-013,SUP-02
553,GA-2, STN-04 ,10-03-2026 10:36,854ghi,BOM-1,49.8,,144.5psi,37.42,Reject,automated,TL-005,SUP-09
554, Ga-1 ,STN-04,10-03-2026 10:36,168DEF,BOM-3,50.1,87.3,12.7 bar,78.36,REJ,automated,TL-016,sup-09
555, Ga-2 ,stn-07,2026-03-10 10:37,307-ghi,BOM-1,57.8Nm,180.3F,138.2psi,71.39,Repair,Human,TL-008,sup-02
556,GA-1,STN-02,2026/03/10 10:37,750ABC,BOM-3,51.1 Nm,61.9,148.1psi,62.85,Repair,HUMAN,TL-005,SUP-01
557,ga-2, STN-06 ,2026/03/10 10:38,919-ghi,BOM-2,50.1Nm,195.6F,10.4 bar,71.63,Reject,automated,TL-005,SUP-01
558,ga-2,stn-07,10-03-2026 10:38,793GHI,BOM-1,50.4,81.2,7.7 bar,65.28,na,Automated,TL-014,
559, Ga-2 , STN-07 ,10-03-2026 10:39,572-GHI,BOM-3,52.0Nm,86.8C,11.5 bar,59.24,REJ,HUMAN,TL-023,SUP-02
560,ga-1,STN-05,10-03-2026 10:39,641-GHI,BOM-2,53.1 Nm,75.9 c,163.6psi,47.6,None,Automated,TL-013,SUP-02
561,GA-2,stn-07,10-03-2026 10:40,571def,BOM-3,46.4,61.7C,7.0 bar,79.09,,automated,TL-015,SUP-01
562, Ga-1 ,stn-05,2026-03-10 10:40,619-abc,BOM-3,44.7Nm,135.0F,8.0 bar,55.63,REJ,Human,TL-021,sup-09
563,ga-2, STN-06 ,2026/03/10 10:41,792GHI,BOM-3,,70.6C,123.9psi,56.18,Reject,Automated,TL-016,SUP-09
564, Ga-1 , STN-07 ,2026/03/10 10:41,144-abc,BOM-2,41.8 Nm,85.2,11.1 bar,60.37,REP,AUTO,TL-020,sup-09
565,GA-2,stn-01,2026/03/10 10:42,288def,BOM-1,58.2Nm,93.0 c,128.7psi,60.55,REJ,human,TL-013,SUP-09
566,GA-1,STN-04,2026/03/10 10:42,153ABC,BOM-2,40.4,83.0C,10.6 bar,65.75,REJ,human,TL-004,sup-02
567,ga-2,stn-07,2026/03/10 10:43,815-abc,BOM-3,47.1 Nm,69.5 c,9.7 bar,64.6,REP,Human,TL-016,sup-09
568,GA-1,stn-06,10-03-2026 10:43,753-ghi,BOM-3,54.9Nm,72.2,10.1 bar,54.23,Repair,Human,TL-017,sup-09
569,ga-1,STN-01,10-03-2026 10:44,147-abc,BOM-2,50.0Nm,200.5F,10.7 bar,60.26,REP,Human,TL-011,sup-02
570,GA-2,stn-07,10-03-2026 10:44,194-def,BOM-1,43.4 Nm,66.9C,150.9psi,65.43,Reject,AUTO,TL-013,SUP-01
571,ga-1,stn-03,2026/03/10 10:45,338-ghi,BOM-3,52.1 Nm,101.0,10.0 bar,53.38,,automated,TL-003,SUP-01
572,ga-2,stn-03,2026/03/10 10:45,317abc,BOM-2,50.3Nm,98.8 c,10.5 bar,74.47,,Human,TL-012,SUP-02
573,GA-1, STN-07 ,2026/03/10 10:46,566ABC,BOM-2,,,10.3 bar,59.8,None,Automated,TL-023,sup-01
574,ga-1,STN-03,2026/03/10 10:46,548abc,BOM-2,46.9Nm,,9.7 bar,75.98,Reject,Automated,TL-004,sup-02
575,ga-2,stn-06,2026/03/10 10:47,421-ghi,BOM-2,49.8Nm,76.6 c,9.4 bar,46.08,OK,Human,TL-016,SUP-01
576,ga-2,stn-03,,247abc,BOM-2,47.1,83.6C,185.9psi,66.55,Repair,Human,TL-018,sup-02
577,ga-1,stn-04,2026/03/10 10:48,683-abc,BOM-2,62.2Nm,,9.3 bar,51.1,REP,human,TL-018,sup-01
578,ga-2,STN-04,2026-03-10 10:48,810-GHI,BOM-1,48.8 Nm,164.3F,,53.66,REP,AUTO,TL-021,SUP-09
579,GA-1,stn-03,,675-def,BOM-2,48.1,156.2F,9.0 bar,69.05,,automated,TL-005,SUP-09
580, Ga-2 ,STN-07,10-03-2026 10:49,825-ghi,BOM-1,,77.2C,,57.72,REJ,HUMAN,TL-005,sup-01
581, Ga-2 ,STN-01,2026/03/10 10:50,921ghi,BOM-1,58.9,72.3C,12.7 bar,85.97,Reject,AUTO,TL-009,SUP-09
582,GA-1,STN-02,10-03-2026 10:50,857-ghi,BOM-3,41.8Nm,92.4C,9.5 bar,65.18,na,AUTO,TL-001,
583, Ga-1 ,STN-04,10-03-2026 10:51,685ABC,BOM-1,51.8,164.9F,130.5psi,53.04,na,AUTO,TL-001,SUP-02
584,ga-1, STN-01 ,2026/03/10 10:51,144-DEF,BOM-3,48.8,81.0,,65.2,Reject,automated,TL-015,sup-09
585, Ga-2 , STN-06 ,2026/03/10 10:52,400-ghi,BOM-2,42.9 Nm,,10.0 bar,57.63,Reject,human,TL-008,SUP-09
586,ga-2, STN-01 ,2026/03/10 10:52,484GHI,BOM-3,45.9,,10.5 bar,68.32,REP,AUTO,TL-024,SUP-01
587, Ga-2 , STN-03 ,2026/03/10 10:53,740-GHI,BOM-2,51.6Nm,82.1,144.1psi,57.04,REP,Automated,TL-021,SUP-02
588,GA-2, STN-05 ,2026/03/10 10:53,861ghi,BOM-3,45.7Nm,83.8C,9.4 bar,64.07,REP,HUMAN,TL-017,SUP-01
589,ga-2,stn-02,2026/03/10 10:54,675-ghi,BOM-2,51.3 Nm,69.8 c,12.9 bar,61.98,Repair,Automated,TL-020,SUP-01
590,GA-1,stn-05,10-03-2026 10:54,426ghi,BOM-1,58.6Nm,,9.7 bar,60.78,Repair,Human,TL-007,SUP-02
591,GA-1, STN-04 ,2026/03/10 10:55,808ABC,BOM-2,50.9 Nm,92.6C,,70.42,REJ,HUMAN,TL-017,sup-09
592,ga-1,STN-05,2026/03/10 10:55,725-ABC,BOM-2,42.7,,,41.97,REJ,HUMAN,TL-021,SUP-09
593,ga-2,stn-07,2026-03-10 10:56,817def,BOM-1,45.8Nm,97.6C,11.3 bar,60.98,REP,human,TL-004,SUP-02
594,ga-2,stn-02,2026-03-10 10:56,629-ABC,BOM-2,48.6Nm,73.0 c,175.7psi,52.99,REJ,human,TL-013,sup-09
595,ga-2,stn-06,2026-03-10 10:57,681ABC,BOM-1,48.2Nm,85.9,186.9psi,46.51,Repair,Human,TL-024,
596, Ga-1 ,stn-02,10-03-2026 10:57,412def,BOM-2,50.8Nm,80.8,10.5 bar,51.62,Reject,human,TL-013,SUP-01
597,ga-2,stn-04,2026/03/10 10:58,459def,BOM-1,51.6 Nm,174.9F,138.7psi,53.8,Reject,AUTO,TL-020,sup-01
598,ga-2,stn-01,10-03-2026 10:58,348GHI,BOM-1,58.7 Nm,77.9,7.1 bar,57.65,Repair,Human,TL-002,
599,ga-1, STN-01 ,,330-DEF,BOM-2,50.0,70.1,8.6 bar,63.37,REP,AUTO,TL-009,
600, Ga-1 ,STN-06,,686def,BOM-1,44.2 Nm,85.2C,,65.42,None,HUMAN,TL-002,SUP-02
601,ga-1,stn-02,2026-03-10 11:00,444-DEF,BOM-1,55.8,77.1,8.2 bar,55.91,,automated,TL-018,sup-09
602,GA-1, STN-07 ,2026/03/10 11:00,220-ghi,BOM-1,56.3 Nm,152.4F,7.6 bar,75.85,Reject,AUTO,TL-014,SUP-09
603,ga-2, STN-07 ,2026-03-10 11:01,131abc,BOM-2,51.2 Nm,69.6 c,,56.29,REJ,HUMAN,TL-005,SUP-02
604,ga-2, STN-05 ,2026/03/10 11:01,873DEF,BOM-1,48.8,152.7F,,40.54,REJ,Human,TL-020,sup-02
605,ga-2, STN-03 ,10-03-2026 11:02,491-DEF,BOM-1,53.1Nm,74.8,9.6 bar,56.55,REJ,AUTO,TL-013,SUP-09
606, Ga-1 , STN-01 ,2026/03/10 11:02,618-ghi,BOM-3,48.9 Nm,184.7F,11.3 bar,60.47,OK,Automated,TL-019,sup-02
607,GA-2,STN-04,2026-03-10 11:03,,BOM-2,39.7,72.9 c,10.9 bar,27.27,Reject,AUTO,TL-018,SUP-02
608, Ga-2 ,stn-05,2026-03-10 11:03,200abc,BOM-3,52.8 Nm,89.8,11.7 bar,72.07,REP,Human,TL-023,sup-09
609, Ga-2 , STN-06 ,10-03-2026 11:04,942DEF,BOM-2,54.5,78.8,192.3psi,59.01,na,AUTO,TL-006,SUP-02
610, Ga-2 , STN-06 ,10-03-2026 11:04,732abc,BOM-2,,77.1 c,13.9 bar,48.48,REJ,AUTO,TL-013,sup-02
611,ga-1, STN-05 ,2026/03/10 11:05,675ABC,BOM-1,46.3 Nm,80.2C,,50.4,None,automated,TL-004,sup-01
612,ga-1,STN-02,10-03-2026 11:05,487-GHI,BOM-1,51.1Nm,94.0C,9.3 bar,67.62,Repair,automated,TL-015,SUP-01
613,ga-2,stn-07,10-03-2026 11:06,734-abc,BOM-3,51.2,66.3,146.3psi,68.84,OK,human,TL-009,sup-02
614,GA-1,stn-02,2026-03-10 11:06,283ABC,BOM-1,50.4Nm,205.8F,,53.51,Reject,AUTO,TL-016,SUP-02
615,ga-1,STN-02,10-03-2026 11:07,371GHI,BOM-1,50.6Nm,89.6 c,8.7 bar,46.45,Repair,AUTO,TL-002,sup-02
616,ga-1, STN-05 ,10-03-2026 11:07,964ABC,BOM-3,50.2 Nm,,12.2 bar,61.31,Reject,automated,TL-010,SUP-02
617, Ga-1 , STN-07 ,2026/03/10 11:08,347GHI,BOM-3,51.1,91.8C,9.7 bar,63.14,REP,human,TL-012,SUP-01
618, Ga-2 ,stn-07,2026-03-10 11:08,746-abc,BOM-2,53.7Nm,76.8 c,149.9psi,65.65,REP,human,TL-001,SUP-01
619,GA-1,stn-05,2026-03-10 11:09,936-ABC,BOM-2,56.1Nm,82.9C,8.8 bar,54.37,REP,automated,TL-004,sup-01
620,ga-2,STN-02,10-03-2026 11:09,633DEF,BOM-2,,166.3F,116.2psi,58.78,Repair,HUMAN,TL-021,SUP-01
621,GA-1,STN-07,10-03-2026 11:10,367-abc,BOM-1,49.1,89.7 c,138.9psi,60.2,na,Automated,TL-012,
622, Ga-1 , STN-06 ,2026-03-10 11:10,863-ABC,BOM-1,47.9Nm,72.9,,69.67,na,Human,TL-002,SUP-02
623,GA-2,STN-01,2026-03-10 11:11,842-GHI,BOM-3,47.2,79.5C,8.9 bar,73.29,OK,human,TL-004,SUP-09
624,GA-2,STN-06,10-03-2026 11:11,588-ABC,BOM-3,41.9,86.8C,12.4 bar,76.01,Reject,HUMAN,TL-024,SUP-01
625, Ga-1 , STN-02 ,2026/03/10 11:12,,BOM-1,50.1 Nm,90.5,9.1 bar,73.02,Repair,human,TL-005,sup-02
626, Ga-1 , STN-05 ,10-03-2026 11:12,496-ghi,BOM-2,52.4 Nm,71.8,8.4 bar,78.13,na,Automated,TL-021,sup-01
627,GA-2,STN-07,10-03-2026 11:13,488ABC,BOM-3,49.2Nm,189.6F,10.4 bar,70.13,REP,Automated,TL-006,sup-09
628, Ga-2 , STN-01 ,2026-03-10 11:13,270-DEF,BOM-1,50.0,70.2 c,159.8psi,54.11,,Human,TL-003,SUP-09
629,GA-2,stn-01,2026/03/10 11:14,461abc,BOM-1,52.1Nm,58.5,10.3 bar,75.34,OK,automated,TL-021,sup-01
630,ga-1,STN-01,2026-03-10 11:14,237-GHI,BOM-3,,72.5C,10.2 bar,46.24,None,Automated,TL-003,SUP-09
631, Ga-2 ,stn-02,2026-03-10 11:15,722-GHI,BOM-3,47.9,88.3,12.4 bar,83.64,,HUMAN,TL-020,SUP-09
632, Ga-1 ,stn-07,2026-03-10 11:15,488def,BOM-2,44.1Nm,79.9,10.1 bar,50.25,REP,Automated,TL-018,sup-02
633,GA-2, STN-03 ,2026/03/10 11:16,756-DEF,BOM-2,49.5 Nm,74.7,9.3 bar,68.88,REJ,HUMAN,TL-024,sup-09
634,GA-1, STN-03 ,10-03-2026 11:16,509DEF,BOM-1,59.4Nm,80.6 c,8.3 bar,74.44,REP,human,TL-014,sup-02
635, Ga-2 , STN-06 ,10-03-2026 11:17,741-GHI,BOM-1,44.2 Nm,176.4F,11.9 bar,64.59,Reject,HUMAN,TL-023,sup-09
636,GA-1,STN-06,2026-03-10 11:17,759-ghi,BOM-2,53.3,86.2,9.4 bar,39.5,na,HUMAN,TL-016,sup-02
637,GA-2,stn-01,2026-03-10 11:18,244-DEF,BOM-1,55.8 Nm,63.9C,9.5 bar,50.52,Reject,human,TL-001,SUP-02
638, Ga-2 ,stn-01,10-03-2026 11:18,497abc,BOM-2,38.2Nm,79.0,11.6 bar,63.57,None,automated,TL-007,sup-02
639,GA-1,stn-04,2026-03-10 11:19,,BOM-3,52.1Nm,81.2 c,13.1 bar,66.36,,AUTO,TL-001,sup-01
640, Ga-2 ,STN-06,2026/03/10 11:19,633-GHI,BOM-3,,66.3,10.4 bar,58.21,Reject,human,TL-022,sup-02
641, Ga-1 ,stn-02,2026/03/10 11:20,299def,BOM-2,48.7Nm,66.2,9.8 bar,60.74,Reject,HUMAN,TL-010,sup-01
642,GA-2, STN-04 ,2026/03/10 11:20,848-ABC,BOM-1,46.8Nm,76.4,10.0 bar,45.31,Reject,AUTO,TL-014,sup-02
643,ga-1,STN-04,,279DEF,BOM-3,47.0Nm,80.1 c,135.1psi,77.74,REP,automated,TL-020,sup-09
644, Ga-2 , STN-06 ,2026-03-10 11:21,993ABC,BOM-3,48.4,80.1C,9.5 bar,56.22,None,human,TL-014,SUP-01
645,ga-2, STN-07 ,10-03-2026 11:22,735-def,BOM-2,48.5 Nm,,9.5 bar,67.89,Repair,automated,TL-023,SUP-09
646, Ga-1 , STN-01 ,10-03-2026 11:22,389-def,BOM-3,47.5 Nm,74.0,164.8psi,74.04,REJ,Automated,TL-024,sup-09
647,ga-1, STN-03 ,10-03-2026 11:23,274def,BOM-2,48.3Nm,76.0C,9.9 bar,48.45,REP,human,TL-005,SUP-01
648,ga-2,STN-01,2026-03-10 11:23,910-ABC,BOM-3,56.0Nm,83.0C,12.0 bar,61.28,REP,human,TL-019,sup-09
649, Ga-1 ,stn-06,2026/03/10 11:24,570GHI,BOM-2,,92.4 c,9.8 bar,62.78,None,human,TL-005,SUP-02
650,ga-1, STN-06 ,2026-03-10 11:24,,BOM-1,41.3 Nm,57.8,9.4 bar,57.42,Repair,automated,TL-017,SUP-01
651, Ga-2 ,STN-05,10-03-2026 11:25,847abc,BOM-1,56.0,86.2 c,11.9 bar,69.27,Reject,Human,TL-013,SUP-09
652,GA-1,stn-03,2026/03/10 11:25,161def,BOM-1,49.0Nm,78.9,145.5psi,53.33,REP,human,TL-021,SUP-01
653,ga-1,stn-02,2026/03/10 11:26,714def,BOM-3,48.1,85.3C,9.8 bar,60.55,Repair,human,TL-005,sup-09
654,ga-1,STN-05,2026/03/10 11:26,400-GHI,BOM-3,49.4,91.9 c,10.1 bar,56.29,None,AUTO,TL-024,SUP-09
655, Ga-2 , STN-07 ,2026-03-10 11:27,916def,BOM-2,51.0,72.4,12.2 bar,83.26,REP,Automated,TL-013,SUP-02
656, Ga-2 , STN-07 ,10-03-2026 11:27,296-def,BOM-2,47.4Nm,193.0F,10.5 bar,53.37,Repair,human,TL-020,SUP-02
657,GA-2, STN-01 ,10-03-2026 11:28,130DEF,BOM-3,52.5 Nm,67.5C,11.9 bar,67.45,Repair,automated,TL-020,SUP-02
658,ga-1,STN-07,2026-03-10 11:28,,BOM-3,45.2Nm,81.3C,139.9psi,77.97,REJ,Automated,TL-020,sup-09
659,ga-1, STN-07 ,,596-ABC,BOM-3,48.5Nm,77.6,11.6 bar,50.82,Repair,HUMAN,TL-006,sup-01
660,GA-2,stn-04,2026-03-10 11:29,599-ABC,BOM-2,38.9,80.5C,10.4 bar,60.95,Reject,Automated,TL-005,sup-09
661,ga-1, STN-05 ,2026/03/10 11:30,336-DEF,BOM-2,55.9Nm,70.1C,,50.14,REP,HUMAN,TL-003,SUP-09
662,ga-1,stn-02,2026/03/10 11:30,544-ghi,BOM-2,49.1 Nm,,166.0psi,39.87,Reject,automated,TL-021,sup-01
663,ga-2,stn-02,10-03-2026 11:31,966-ABC,BOM-3,53.4Nm,95.9C,8.6 bar,52.15,REJ,HUMAN,TL-015,SUP-01
664,GA-1,stn-05,2026-03-10 11:31,786-ghi,BOM-3,52.4 Nm,158.5F,10.1 bar,54.3,Repair,human,TL-022,sup-09
665,ga-1,stn-01,2026-03-10 11:70,985-GHI,BOM-2,52.7,179.4F,11.4 bar,54.89,REP,Automated,TL-009,SUP-02
666,ga-2,STN-06,2026/03/10 11:32,399-def,BOM-3,,88.6 c,11.7 bar,57.0,Repair,human,TL-015,sup-02
667,ga-1,stn-04,2026-03-10 11:33,882ghi,BOM-1,51.9Nm,77.0,11.9 bar,60.06,REJ,HUMAN,TL-002,SUP-02
668, Ga-2 ,stn-06,2026-03-10 11:33,444-GHI,BOM-2,45.2 Nm,93.6C,10.2 bar,48.03,Reject,automated,TL-016,sup-01
669,ga-2,stn-01,10-03-2026 11:34,941-def,BOM-1,44.1Nm,168.3F,12.3 bar,63.52,REJ,HUMAN,TL-022,SUP-01
670,GA-2,stn-06,2026-03-10 11:34,878-DEF,BOM-3,49.5Nm,78.8 c,,72.13,REJ,Automated,TL-015,sup-01
671,ga-1,STN-03,2026/03/10 11:35,248GHI,BOM-1,46.6,70.1 c,7.8 bar,73.31,na,AUTO,TL-021,SUP-01
672,GA-1,stn-05,2026/03/10 11:35,974abc,BOM-1,57.1Nm,81.3C,9.6 bar,57.4,REP,HUMAN,TL-014,SUP-09
673,GA-1, STN-06 ,2026/03/10 11:36,646-ABC,BOM-2,51.9 Nm,80.0C,11.8 bar,68.94,,human,TL-011,sup-01
674, Ga-1 , STN-05 ,10-03-2026 11:36,797-def,BOM-2,46.4,86.4,8.4 bar,53.19,REJ,Automated,TL-005,SUP-09
675,ga-1, STN-03 ,2026/03/10 11:37,620-abc,BOM-2,48.6 Nm,73.6C,7.8 bar,56.57,Repair,human,TL-006,sup-02
676,ga-1,STN-07,2026/03/10 11:37,295GHI,BOM-1,50.7Nm,73.2C,7.4 bar,63.99,None,HUMAN,TL-016,
677,GA-1,stn-06,2026/03/10 11:38,985-DEF,BOM-3,49.7Nm,84.6 c,11.1 bar,56.65,Reject,HUMAN,TL-010,SUP-09
678, Ga-1 ,STN-05,,201-ghi,BOM-3,51.4 Nm,94.0,7.8 bar,47.36,OK,Automated,TL-010,sup-01
679,ga-2,stn-03,10-03-2026 11:39,827ABC,BOM-1,50.3 Nm,86.3,10.8 bar,68.33,,Automated,TL-014,SUP-02
680,GA-2, STN-06 ,10-03-2026 11:39,288-def,BOM-3,43.0,98.5 c,,51.71,Reject,Human,TL-013,SUP-02
681, Ga-2 , STN-06 ,2026-03-10 11:40,806-def,BOM-3,39.2 Nm,85.6,8.8 bar,54.8,Repair,HUMAN,TL-020,sup-01
682,ga-2, STN-04 ,10-03-2026 11:40,480ABC,BOM-3,48.1,85.2,8.5 bar,70.58,Repair,human,TL-022,SUP-02
683,ga-2, STN-05 ,,312abc,BOM-2,52.8 Nm,86.8C,10.3 bar,65.37,REJ,HUMAN,TL-004,sup-02
684,ga-2, STN-01 ,,312ABC,BOM-2,48.2 Nm,202.8F,8.9 bar,61.76,Reject,Automated,TL-003,sup-02
685, Ga-1 ,stn-06,2026/03/10 11:42,387-GHI,BOM-2,56.2 Nm,92.4 c,10.0 bar,45.31,,human,TL-020,sup-09
686,ga-1, STN-01 ,10-03-2026 11:42,910ABC,BOM-3,49.8,69.2C,10.6 bar,48.37,,HUMAN,TL-023,sup-02
687,GA-2,stn-02,,791def,BOM-3,,190.4F,10.9 bar,63.97,Reject,Human,TL-013,
688,ga-2,STN-03,2026/03/10 11:43,702-def,BOM-1,,82.7,165.3psi,66.3,Reject,Human,TL-014,sup-02
689,ga-2,stn-07,2026/03/10 11:44,666-abc,BOM-3,55.3,78.1 c,10.2 bar,62.53,REJ,automated,TL-018,SUP-01
690,ga-2,stn-07,2026/03/10 11:44,474-def,BOM-2,44.0,62.3 c,8.4 bar,55.26,REP,Human,TL-023,SUP-09
691, Ga-2 ,stn-01,2026-03-10 11:45,910-GHI,BOM-2,,148.3F,10.7 bar,54.93,OK,HUMAN,TL-009,sup-01
692,ga-2, STN-01 ,2026/03/10 11:45,346ABC,BOM-3,56.1,76.4,11.0 bar,62.16,REJ,HUMAN,TL-005,sup-09
693,GA-2,stn-07,2026/03/10 11:46,947-ABC,BOM-2,51.4 Nm,65.4C,141.1psi,47.48,OK,Human,TL-020,SUP-09
694,GA-1,stn-03,2026/03/10 11:46,442-GHI,BOM-1,52.8,169.8F,9.6 bar,60.92,na,Automated,TL-002,SUP-02
695,GA-1,stn-01,2026-03-10 11:47,406def,BOM-3,43.1 Nm,87.1 c,13.7 bar,46.11,Repair,human,TL-003,
696,ga-1,STN-04,10-03-2026 11:47,527ghi,BOM-1,59.6,74.2C,8.1 bar,49.47,Reject,automated,TL-015,sup-09
697,ga-1,stn-03,2026-03-10 11:48,772def,BOM-2,46.0,80.8,10.7 bar,61.78,,HUMAN,TL-008,SUP-02
698, Ga-1 , STN-07 ,2026-03-10 11:48,741-def,BOM-2,40.0Nm,156.7F,11.6 bar,65.83,REJ,human,TL-013,SUP-02
699,GA-2, STN-01 ,2026-03-10 11:49,789-ABC,BOM-1,48.2Nm,83.0,137.6psi,63.42,REJ,automated,TL-012,sup-01
700,ga-1, STN-06 ,10-03-2026 11:49,180def,BOM-3,37.8Nm,85.1 c,141.3psi,48.85,REP,AUTO,TL-018,
701,GA-2, STN-07 ,10-03-2026 11:50,244-abc,BOM-2,44.6,65.8,136.3psi,41.29,None,automated,TL-005,SUP-01
702, Ga-2 , STN-05 ,10-03-2026 11:50,863ghi,BOM-2,62.8Nm,162.5F,10.0 bar,59.92,Reject,Human,TL-015,sup-02
703,ga-2,stn-06,10-03-2026 11:51,981-ghi,BOM-1,48.1Nm,67.3,164.6psi,41.01,None,human,TL-018,SUP-01
704,GA-1, STN-04 ,2026-03-10 11:51,214ABC,BOM-3,42.9,85.1,140.7psi,69.44,REP,HUMAN,TL-013,SUP-09
705,ga-1, STN-05 ,10-03-2026 11:52,912-DEF,BOM-1,50.1Nm,179.0F,14.7 bar,49.19,REP,automated,TL-008,sup-09
706,GA-2,STN-03,10-03-2026 11:52,335ABC,BOM-3,45.5Nm,79.5 c,9.3 bar,82.34,REJ,HUMAN,TL-022,sup-02
707,GA-2,STN-01,2026/03/10 11:53,980DEF,BOM-1,54.3 Nm,78.7C,12.1 bar,50.38,Repair,HUMAN,TL-004,SUP-01
708,ga-2,STN-05,10-03-2026 11:53,993-abc,BOM-1,45.6,181.8F,10.8 bar,64.63,,Human,TL-008,sup-09
709, Ga-2 ,STN-05,10-03-2026 11:54,672-def,BOM-1,51.4 Nm,83.4C,10.2 bar,52.63,REP,Human,TL-014,SUP-02
710,GA-1,stn-05,,270-ABC,BOM-3,44.3Nm,75.0,12.2 bar,58.32,REP,automated,TL-007,SUP-02
711,ga-2,stn-01,10-03-2026 11:55,808def,BOM-3,63.0 Nm,164.6F,7.6 bar,61.84,REP,AUTO,TL-016,SUP-02
712,GA-2, STN-03 ,10-03-2026 11:55,190ABC,BOM-2,52.5Nm,79.4 c,154.2psi,68.6,Repair,human,TL-020,sup-09
713,ga-1,stn-01,2026/03/10 11:56,400DEF,BOM-3,49.3 Nm,78.1 c,129.4psi,70.2,Repair,automated,TL-013,SUP-01
714, Ga-1 ,STN-02,2026-03-10 11:56,673-ghi,BOM-2,48.5,213.1F,9.3 bar,67.27,Reject,Automated,TL-009,sup-02
715, Ga-2 ,STN-01,10-03-2026 11:57,160abc,BOM-3,47.2 Nm,76.2C,134.5psi,70.38,Reject,Human,TL-015,
716, Ga-2 , STN-03 ,2026/03/10 11:57,453-GHI,BOM-1,46.2,82.9 c,124.0psi,53.84,REP,AUTO,TL-014,SUP-09
717,ga-2, STN-07 ,10-03-2026 11:58,816-DEF,BOM-2,46.1,84.7 c,7.5 bar,66.49,Repair,AUTO,TL-020,SUP-09
718,ga-2, STN-07 ,10-03-2026 11:58,182-DEF,BOM-2,,94.0 c,10.6 bar,56.59,REP,AUTO,TL-015,sup-02
719, Ga-2 ,stn-07,10-03-2026 11:59,429def,BOM-2,47.2,71.9 c,9.9 bar,69.86,Repair,Human,TL-001,sup-01
720, Ga-2 , STN-02 ,2026/03/10 11:59,103ghi,BOM-3,39.4,200.1F,138.5psi,61.16,,HUMAN,TL-008,sup-09
721,GA-1,STN-06,10-03-2026 12:00,,BOM-3,44.2Nm,78.5 c,161.5psi,66.2,Repair,human,TL-009,sup-02
722,ga-1, STN-05 ,2026-03-10 12:00,171-DEF,BOM-2,54.6,221.0F,10.7 bar,62.91,Repair,human,TL-009,SUP-01
723,ga-2,STN-07,2026-03-10 12:01,352-DEF,BOM-3,48.7,83.6C,139.2psi,67.6,Repair,automated,TL-021,SUP-01
724,ga-2,STN-03,10-03-2026 12:01,569DEF,BOM-1,49.3,67.7 c,211.4psi,51.92,None,Automated,TL-001,SUP-01
725,ga-1,stn-03,10-03-2026 12:02,292ghi,BOM-1,55.8 Nm,78.0 c,11.5 bar,44.28,,Human,TL-018,sup-01
726,ga-2,stn-02,,307-ghi,BOM-1,46.1 Nm,93.4C,198.2psi,69.89,na,Human,TL-007,sup-01
727,ga-2, STN-04 ,2026/03/10 12:03,850abc,BOM-1,53.2 Nm,,9.4 bar,73.45,OK,Automated,TL-014,sup-01
728,GA-1, STN-04 ,,799ABC,BOM-3,46.7,79.4C,150.4psi,58.84,na,AUTO,TL-008,sup-02
729,GA-2,STN-06,2026/03/10 12:04,172def,BOM-2,52.9,87.2C,8.1 bar,68.11,Repair,HUMAN,TL-002,
