Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Shift
1722,ga-2, STN-07 ,,948-ABC,BOM-2,43.0,79.7,154.4psi,59.39,None,HUMAN,TL-023,sup-02,KSXF34G020C89PXGU,WO-74513,0,Torque Out of Spec,1.032,Morning
1723,GA-2, STN-03 ,10-03-2026 20:21,326ABC,BOM-2,46.7 Nm,82.1 c,8.9 bar,61.78,Reject,automated,TL-015,,WT56UHBHTSA3DLBR4,WO-64054,0,Leak Detected,1.0209,Morning
1724,GA-1, STN-03 ,2026-03-10 20:21,912abc,BOM-1,59.6Nm,70.8 c,9.4 bar,67.7,OK,AUTO,TL-005,sup-01,DL562TKKNURDP5N29,WO-77950,0,Torque Out of Spec,0.9846,Night
1725,ga-1,stn-07,2026-03-10 20:22,302ghi,BOM-1,55.6Nm,77.7 c,8.0 bar,45.85,REP,Automated,TL-024,SUP-09,EX3MXCG573U4HWKUB,WO-61185,0,Torque Out of Spec,0.9745,Evening
1726,ga-1,stn-04,10-03-2026 20:22,582abc,BOM-1,50.5Nm,162.1F,12.2 bar,53.95,OK,Automated,TL-008,sup-01,DZMTYLL08K404CST5,WO-60226,0,Torque Out of Spec,1.0119,Morning
1727,ga-1,STN-07,2026/03/10 20:23,378-def,BOM-2,45.3,67.8,154.8psi,76.39,REP,automated,TL-022,sup-09,RBEJJU2SFX8U2B9ZD,WO-47364,0,Torque Out of Spec,0.991,Morning
1728, Ga-1 ,STN-06,10-03-2026 20:23,902-abc,BOM-2,47.4,71.8 c,8.6 bar,60.33,Repair,HUMAN,TL-017,SUP-09,73AM85C3YWMVT6SX8,WO-96948,0,,0.9872,Night
1729, Ga-2 , STN-06 ,2026/03/10 20:24,344-abc,BOM-2,50.4 Nm,68.5C,10.4 bar,75.28,OK,Automated,TL-011,SUP-09,CUA01J4AV0KU6BMHV,WO-97975,0,Visual Defect,1.0045,Evening
1730, Ga-2 , STN-01 ,2026/03/10 20:24,391-GHI,BOM-2,50.2,75.8C,11.7 bar,89.86,,HUMAN,TL-020,SUP-09,2CM769X6JL5SERY6A,WO-34811,0,Temperature High,1.0144,Evening
1731, Ga-1 , STN-07 ,2026-03-10 20:25,676ABC,BOM-1,49.5Nm,84.3 c,166.6psi,55.08,None,Human,TL-016,sup-02,D6HLHK3B1ABRG51RW,WO-26884,0,Visual Defect,1.0158,Night
1732,GA-2,STN-04,2026/03/10 20:25,777ABC,BOM-2,49.8 Nm,81.2 c,8.6 bar,48.03,REJ,AUTO,TL-022,SUP-02,9WS236N7TV7DWL8B3,WO-19733,0,Leak Detected,1.0011,Night
1733, Ga-1 ,STN-01,,492ghi,BOM-2,48.9 Nm,99.7 c,76.8psi,57.34,OK,HUMAN,TL-015,SUP-01,G9YWD4NPSM0KVN3JN,WO-54676,0,Visual Defect,0.9541,Night
1734,ga-1,stn-04,2026-03-10 20:26,927GHI,BOM-3,42.8Nm,57.9,10.6 bar,70.99,,HUMAN,TL-010,sup-09,8J9RB6VFTBY88WT18,WO-93409,0,Torque Out of Spec,1.0191,Evening
1735,ga-1,stn-05,2026/03/10 20:27,,BOM-1,47.4,84.7C,8.7 bar,72.39,None,HUMAN,TL-003,sup-01,RC3VY2U6CWA2RHS65,WO-34230,0,,0.9839,Evening
1736,GA-1, STN-04 ,2026-03-10 20:27,215-abc,BOM-1,54.6 Nm,80.1C,10.9 bar,82.72,Repair,Automated,TL-024,sup-09,EWJ9AJWV1,WO-70339,0,Visual Defect,1.0062,Night
1737,ga-2,stn-02,2026/03/10 20:28,823GHI,BOM-2,43.2,88.2 c,11.4 bar,59.63,Reject,automated,TL-019,SUP-02,P29HL3JHJ208K05D0,WO-24692,1,Visual Defect,0.9976,Morning
1738,GA-2,STN-03,2026/03/10 20:28,928ghi,BOM-1,49.1,87.2,11.7 bar,64.88,na,Automated,TL-003,SUP-01,ZM2CKW3CMRFY1X0TU,WO-22009,0,Visual Defect,1.0449,Night
1739,GA-2, STN-01 ,2026/03/10 20:29,214-DEF,BOM-1,45.9,173.0F,12.6 bar,52.88,,Automated,TL-015,sup-02,6LEGHZXF48MAX3G6A,WO-19768,0,Visual Defect,1.0412,Evening
1740,ga-1,stn-01,2026-03-10 20:29,416ABC,BOM-1,50.6Nm,81.7 c,11.9 bar,34.93,,automated,TL-020,sup-02,UN10B3MKPTUFAV4T7,WO-71462,1,Torque Out of Spec,0.9908,Morning
1741,GA-1, STN-06 ,2026/03/10 20:30,995-ghi,BOM-3,48.1 Nm,162.6F,12.6 bar,59.6,REP,Human,TL-017,sup-09,B3WB8KKGZ23DBTBDW,WO-59948,0,Temperature High,0.9731,Morning
1742,ga-2,STN-03,10-03-2026 20:30,208ghi,BOM-2,57.4 Nm,,12.1 bar,48.46,None,automated,TL-007,SUP-01,5ZAM1MMB10LH7DUGR,WO-21006,0,Leak Detected,0.9747,Evening
1743,ga-2, STN-05 ,2026-03-10 20:31,968ABC,BOM-3,52.5 Nm,142.2F,12.2 bar,66.43,Reject,human,TL-004,sup-09,K5TX1G16H2FZM7UM3,WO-82321,0,Visual Defect,1.0054,Morning
1744,GA-2, STN-06 ,2026-03-10 20:70,514def,BOM-1,43.4 Nm,87.8C,9.9 bar,41.19,,human,TL-023,sup-02,INVALID871,WO-50437,0,,0.9892,Morning
1745,ga-2, STN-05 ,10-03-2026 20:32,319-abc,BOM-3,53.4,79.8 c,8.1 bar,52.61,Reject,HUMAN,TL-009,SUP-09,68N71ZTA4XVXC3K9T,WO-32255,1,Visual Defect,0.9778,Evening
1746,ga-1, STN-05 ,2026-03-10 20:32,860ABC,BOM-2,46.1Nm,75.1C,13.7 bar,62.68,Repair,AUTO,TL-021,sup-01,0T0S6DUCUVN1TWJUM,WO-64309,1,Leak Detected,0.9895,Morning
1747,GA-1,STN-02,10-03-2026 20:33,582abc,BOM-2,47.1 Nm,171.8F,10.1 bar,63.72,Repair,Human,TL-012,SUP-01,9E601H27EZTKX12A8,WO-92867,0,Temperature High,1.009,Morning
1748, Ga-2 ,stn-03,,784-ABC,BOM-3,51.6 Nm,78.4,11.8 bar,59.53,,human,TL-019,sup-01,INVALID637,WO-90978,0,Leak Detected,0.9984,Morning
1749,GA-1, STN-05 ,10-03-2026 20:34,104-GHI,BOM-2,47.5 Nm,93.0C,9.2 bar,78.67,Repair,AUTO,TL-006,sup-02,1S1LBM7A9F7N8N4H2,WO-87500,0,Torque Out of Spec,0.9904,Morning
1750, Ga-1 ,STN-06,10-03-2026 20:34,305ghi,BOM-1,54.5 Nm,112.3C,166.0psi,75.69,,Human,TL-015,SUP-02,VJ5YJY0PE192SUSMU,WO-66749,0,Torque Out of Spec,0.9929,Morning
1751,ga-1,stn-06,2026-03-10 20:35,286def,BOM-1,46.1 Nm,92.2C,91.8psi,53.16,REJ,automated,TL-014,sup-02,ST5CR3ZBZ1FW6DXKN,WO-41216,0,,0.9968,Evening
1752, Ga-1 , STN-07 ,2026-03-10 20:35,185ABC,BOM-3,46.9,74.3C,9.4 bar,76.09,Reject,Automated,TL-006,sup-09,UHRN2Y31RKP9FMN88,WO-11033,0,Torque Out of Spec,1.0045,Evening
1753, Ga-2 , STN-04 ,2026/03/10 20:36,993-ghi,BOM-1,46.7Nm,187.3F,9.9 bar,77.62,OK,AUTO,TL-017,sup-01,MT1826HJHA90G8NCX,WO-17766,0,Torque Out of Spec,1.0056,Evening
1754,ga-2,STN-02,2026/03/10 20:36,739def,BOM-3,47.2Nm,86.7,155.1psi,58.76,REJ,Automated,TL-012,sup-09,R8TXBGBJRPA5LMUHF,WO-53492,0,Temperature High,0.967,Evening
1755,ga-1,stn-02,2026-03-10 20:37,180-ghi,BOM-3,55.5Nm,70.7 c,11.6 bar,60.45,OK,HUMAN,TL-016,SUP-02,CMDHA5N6R2BSZ2P4Z,WO-54004,0,Temperature High,1.0033,Morning
1756, Ga-1 , STN-03 ,10-03-2026 20:37,546ABC,BOM-2,53.1Nm,67.4 c,8.4 bar,59.49,None,HUMAN,TL-001,sup-01,8SYWF3VVS1RDVGJ34,WO-95905,0,Torque Out of Spec,0.9928,Night
1757,ga-2, STN-05 ,2026-03-10 20:38,309-def,BOM-1,58.5,79.4C,11.0 bar,53.55,Repair,automated,TL-003,SUP-09,LF0UTAYEVBDG5RVDE,WO-16919,0,Torque Out of Spec,0.9797,Morning
1758,ga-1, STN-07 ,10-03-2026 20:38,511-def,BOM-3,61.3Nm,88.1 c,,54.54,na,AUTO,TL-018,sup-02,4BPCAEJF6Y0PZ9GKJ,WO-56403,0,Temperature High,0.9925,Evening
1759,ga-2, STN-03 ,2026/03/10 20:39,939-abc,BOM-1,,63.9C,13.5 bar,73.19,None,HUMAN,TL-024,SUP-02,ABGVGR42XXSH7H,WO-82403,0,Leak Detected,1.0231,Night
1760, Ga-2 , STN-06 ,10-03-2026 20:39,113ghi,BOM-3,50.4 Nm,72.8C,11.1 bar,64.37,REP,Automated,TL-003,sup-01,GY5XBBD4T9NWHUF4R,WO-77354,0,Visual Defect,1.0162,Night
1761,GA-2, STN-01 ,2026/03/10 20:40,168-def,BOM-1,44.1,186.3F,9.3 bar,54.46,None,Human,TL-001,SUP-01,53RVLB7DHE3VJG5F2,WO-94076,1,Torque Out of Spec,1.0019,Evening
1762, Ga-2 ,STN-05,10-03-2026 20:40,737-ghi,BOM-2,46.1,80.4 c,117.3psi,50.74,na,Automated,TL-007,sup-09,LPAAP7XVSD9DXPV0V,WO-17646,0,Temperature High,0.9821,Evening
1763,ga-1, STN-04 ,2026-03-10 20:41,284-ghi,BOM-1,46.8Nm,94.2,12.7 bar,52.42,,AUTO,TL-002,sup-02,HRRXSM41RJTDCST2V,WO-13745,0,Leak Detected,0.9728,Night
1764,ga-1, STN-07 ,2026/03/10 20:41,347-abc,BOM-2,44.7Nm,65.9 c,11.1 bar,58.36,OK,Human,TL-006,SUP-09,KC5EGWHR1FZDFGJL1,WO-31786,0,Torque Out of Spec,0.9812,Evening
1765,GA-1,STN-04,10-03-2026 20:42,481-GHI,BOM-1,44.7Nm,103.5C,144.5psi,69.13,REJ,Automated,TL-017,sup-02,RY2KMK8H8X3DG8K5E,WO-51834,0,Leak Detected,1.0002,Morning
1766, Ga-1 ,STN-03,10-03-2026 20:42,979-ABC,BOM-1,49.3Nm,64.6 c,7.6 bar,51.4,,HUMAN,TL-019,sup-01,2BNWNSK7K43U3GLRP,WO-74264,0,Temperature High,1.0007,Evening
1767, Ga-2 ,stn-02,2026/03/10 20:43,209-ghi,BOM-1,43.9,59.7 c,8.6 bar,69.02,Repair,human,TL-016,SUP-02,CK4HBHM9B13FGHZH8,WO-57717,0,,0.987,Morning
1768,GA-1, STN-07 ,2026/03/10 20:43,288def,BOM-2,54.2,79.4,10.9 bar,61.97,REP,AUTO,TL-010,sup-01,F8G6SZYDWPW7Z,WO-87194,0,Leak Detected,1.0176,Night
1769,GA-1,stn-04,10-03-2026 20:44,978abc,BOM-3,45.4Nm,68.7 c,152.7psi,61.43,na,AUTO,TL-004,sup-02,E2G34SVMLPG2BRBY8,WO-31840,0,,1.0077,Morning
1770, Ga-2 ,STN-07,2026-03-10 20:44,924ghi,BOM-3,64.0 Nm,175.3F,7.1 bar,70.26,Reject,human,TL-013,SUP-01,H511ZCZVJAA6B4KCB,WO-65293,0,Temperature High,0.947,Morning
1771,GA-2,stn-04,2026-03-10 20:45,921-GHI,BOM-2,47.7Nm,79.3 c,10.9 bar,68.43,REP,human,TL-024,sup-02,INVALID837,WO-55040,0,Torque Out of Spec,1.0022,Evening
1772, Ga-1 ,stn-06,10-03-2026 20:45,319-ghi,BOM-2,50.4,78.0 c,7.6 bar,45.95,,automated,TL-006,sup-01,INVALID681,WO-73800,0,,1.0151,Morning
1773,ga-1,STN-04,2026/03/10 20:46,478-ghi,BOM-3,43.5Nm,,12.0 bar,49.16,Reject,AUTO,TL-014,sup-01,TH1S3U2NR63ZCFD0T,WO-77581,0,Leak Detected,1.004,Night
1774, Ga-2 ,stn-07,2026/03/10 20:46,878-ghi,BOM-2,58.5,84.3 c,10.3 bar,57.7,,human,TL-009,SUP-01,XF791MV23Y82PLX23,WO-62946,0,Leak Detected,1.0116,Night
1775,ga-1,STN-03,2026/03/10 20:47,148-DEF,BOM-3,55.6 Nm,76.8 c,9.3 bar,63.56,REP,Automated,TL-009,SUP-02,94T47NYZHF0JKYJT2,WO-91074,1,Torque Out of Spec,0.9947,Evening
1776, Ga-1 ,STN-04,2026-03-10 20:47,288GHI,BOM-2,51.5 Nm,91.0C,11.5 bar,73.65,Reject,AUTO,TL-013,SUP-02,4L7T6RWT10,WO-62692,0,,0.9987,Morning
1777, Ga-2 ,stn-01,2026-03-10 20:48,219GHI,BOM-3,43.3Nm,78.2 c,10.5 bar,60.65,REJ,Automated,TL-005,SUP-01,TAKVDYPLP5ZL1KL8E,WO-98000,0,Visual Defect,0.9991,Morning
1778, Ga-2 ,STN-03,10-03-2026 20:48,871-DEF,BOM-3,51.1 Nm,70.4 c,12.0 bar,77.04,REJ,Human,TL-005,sup-09,21PFTZ4WXUD2LYGUP,WO-89192,1,Temperature High,1.0037,Morning
1779, Ga-2 , STN-07 ,2026-03-10 20:49,277DEF,BOM-2,44.4Nm,63.1C,10.1 bar,52.93,REP,automated,TL-001,,R8HN6EK5V4,WO-85706,0,Visual Defect,0.9884,Night
1780,GA-2,stn-05,2026-03-10 20:49,900def,BOM-1,57.3 Nm,78.3 c,10.2 bar,54.62,REJ,HUMAN,TL-017,SUP-09,78B56ULYMHRKA2TTP,WO-38940,0,Temperature High,1.0218,Morning
1781,ga-2,stn-05,2026/03/10 20:50,504-def,BOM-2,54.0,67.3 c,9.6 bar,56.94,Reject,AUTO,TL-022,sup-01,KYDMGP5GT73Z71MRJ,WO-44244,0,Leak Detected,1.0285,Evening
1782,GA-2, STN-06 ,10-03-2026 20:50,611GHI,BOM-1,50.5Nm,66.5C,10.4 bar,51.83,Reject,Human,TL-011,sup-09,30CLFN4T826J4L3F8,WO-80410,0,Visual Defect,0.9894,Morning
1783,ga-1, STN-05 ,2026/03/10 20:51,213-GHI,BOM-1,37.8Nm,185.5F,181.9psi,71.59,Reject,AUTO,TL-015,SUP-09,Y2R14J7RZXP1SH5BF,WO-41379,0,Leak Detected,0.9766,Evening
1784,GA-2, STN-03 ,10-03-2026 20:51,497-DEF,BOM-1,45.1 Nm,62.2 c,9.2 bar,32.3,OK,HUMAN,TL-024,sup-02,G4TLA01LF5R4E5FSB,WO-96696,0,Visual Defect,0.9731,Morning
1785, Ga-2 ,STN-05,2026-03-10 20:52,644GHI,BOM-2,53.4 Nm,94.1C,11.0 bar,54.96,na,human,TL-019,SUP-09,AE02Y1VR86NUUVLRF,WO-91497,0,,1.0081,Evening
1786,ga-2, STN-02 ,10-03-2026 20:52,103abc,BOM-3,56.1 Nm,81.6,8.7 bar,71.48,Repair,Automated,TL-006,sup-09,2WY1KWDVXE9KE90HK,WO-87839,0,Leak Detected,1.0118,Morning
1787,GA-1,STN-06,2026/03/10 20:53,927-GHI,BOM-2,55.5Nm,79.6 c,6.9 bar,56.88,REP,Human,TL-019,sup-01,2TZ52Z5U147ZWJABG,WO-49438,0,Leak Detected,1.0082,Night
1788,GA-1, STN-04 ,10-03-2026 20:53,235-ABC,BOM-2,42.0 Nm,157.4F,10.3 bar,70.73,Reject,automated,TL-010,sup-02,H47H381V81MHTN7A7,WO-84061,0,Visual Defect,1.0099,Night
1789,GA-2,stn-06,10-03-2026 20:54,733ghi,BOM-1,51.5,87.6 c,10.6 bar,81.98,Reject,AUTO,TL-024,SUP-01,V851BYMSM,WO-60707,0,Leak Detected,0.9886,Evening
1790, Ga-2 , STN-06 ,10-03-2026 20:54,716DEF,BOM-1,55.1 Nm,80.0C,142.6psi,60.8,Reject,human,TL-023,sup-01,KRT34PK56H9GHALAD,WO-46026,0,Torque Out of Spec,0.9602,Night
1791,ga-2,stn-01,2026/03/10 20:55,683-GHI,BOM-3,41.7Nm,73.1 c,112.5psi,71.69,None,AUTO,TL-001,SUP-02,LBB35EPKZGABLVCMD,WO-43028,0,Leak Detected,0.9901,Evening
1792,GA-1,STN-07,2026-03-10 20:55,217def,BOM-2,50.0,82.0,10.5 bar,84.19,na,HUMAN,TL-022,sup-02,S5LP40X42D3DKGRVW,WO-80099,1,Leak Detected,1.0331,Morning
1793,GA-2,stn-03,10-03-2026 20:56,536ghi,BOM-1,51.4Nm,,10.4 bar,64.02,REJ,Human,TL-006,sup-02,DGRCJ0G74NJ0KM29K,WO-87348,0,Visual Defect,1.0053,Evening
1794, Ga-2 ,STN-02,2026-03-10 20:56,743-DEF,BOM-2,48.5,63.6C,8.7 bar,59.52,,HUMAN,TL-012,sup-02,AVB4KPHBF7C4EA5EN,WO-20194,0,Leak Detected,1.0085,Morning
1795, Ga-2 ,stn-05,2026-03-10 20:57,180-ABC,BOM-2,40.7,68.8 c,8.0 bar,69.02,None,Human,TL-018,sup-09,CR9GBNSVLSC5G5YBD,WO-27021,1,Visual Defect,1.0181,Morning
1796,GA-2,stn-07,2026-03-10 20:57,843-ABC,BOM-1,48.4,83.5C,9.6 bar,71.84,REJ,human,TL-003,sup-09,EZCFN5KRCSZF6TFZ4,WO-91274,0,Leak Detected,0.9832,Night
1797,GA-2, STN-01 ,2026/03/10 20:58,195abc,BOM-1,48.4Nm,80.0C,11.0 bar,59.61,None,Automated,TL-001,sup-09,FH3KVFWAE3CNB0YPU,WO-84753,0,,1.0045,Evening
1798,ga-1,stn-02,2026-03-10 20:58,989-ghi,BOM-3,49.3 Nm,90.5,10.6 bar,55.16,Reject,Human,TL-010,sup-01,5MF76JMAGC7BZWGRZ,WO-88345,0,Leak Detected,1.0102,Night
1799,ga-1,STN-05,2026/03/10 20:59,596-ghi,BOM-2,47.2 Nm,,8.7 bar,77.17,na,AUTO,TL-014,SUP-01,2DTT5B4AP6KHRUW30,WO-69924,0,Leak Detected,0.9813,Evening
1800,ga-1,STN-03,2026/03/10 20:59,460abc,BOM-3,47.8 Nm,85.7 c,10.2 bar,57.29,Reject,automated,TL-015,SUP-01,BM53KVEY4BK32AYX3,WO-76129,0,,1.0073,Evening
1801, Ga-2 ,STN-01,10-03-2026 21:00,982GHI,BOM-2,49.8,78.9C,11.3 bar,71.94,REJ,HUMAN,TL-023,SUP-02,EW5AT26NV67SPNMV0,WO-73547,0,,1.0259,Morning
1802, Ga-1 ,STN-05,2026-03-10 21:00,889-ghi,BOM-1,52.2 Nm,,119.5psi,62.63,Reject,human,TL-007,SUP-02,A3CEXS92X63N43PKD,WO-29591,0,Torque Out of Spec,0.992,Evening
1803, Ga-1 ,STN-04,10-03-2026 21:01,979ghi,BOM-3,48.5,83.9 c,146.4psi,78.27,Repair,Automated,TL-018,SUP-01,3CGNGB853ZN7CUS4G,WO-40728,0,Temperature High,0.9656,Evening
1804,GA-2,STN-02,10-03-2026 21:01,732ghi,BOM-3,48.0Nm,79.3 c,174.1psi,51.51,REJ,automated,TL-005,sup-01,VFT71N3AWXTSVB9AW,WO-32743,0,Leak Detected,1.0035,Morning
1805, Ga-1 ,stn-01,2026-03-10 21:02,961abc,BOM-3,50.5Nm,73.7 c,8.1 bar,51.49,Reject,human,TL-011,SUP-02,4F7HZ8FZZJG87CK9B,WO-78904,0,Visual Defect,0.9869,Evening
1806, Ga-2 ,STN-01,2026/03/10 21:02,658-def,BOM-1,40.4,80.4C,170.1psi,68.54,na,human,TL-013,sup-02,F3ZYNKGRAYD0A89KX,WO-64470,0,,1.0036,Morning
1807, Ga-2 , STN-03 ,2026-03-10 21:03,545-ghi,BOM-3,52.4Nm,173.7F,180.2psi,48.7,,HUMAN,TL-011,SUP-09,FR7ZE6NUA26H83G6N,WO-92374,0,Visual Defect,0.9832,Evening
1808, Ga-2 ,STN-03,,274def,BOM-1,50.0 Nm,173.2F,9.7 bar,61.17,None,human,TL-005,sup-09,WPW3A86RE002LH,WO-55233,0,,1.0012,Evening
1809,GA-1, STN-07 ,2026/03/10 21:04,850-def,BOM-2,50.2Nm,75.9C,137.5psi,75.48,Repair,Human,TL-005,sup-01,INVALID291,WO-93874,1,Temperature High,1.0245,Morning
1810, Ga-2 ,stn-03,2026/03/10 21:04,,BOM-2,54.8Nm,67.0 c,11.5 bar,42.15,REP,Automated,TL-021,sup-01,Z31AKPTJDP93YBLAB,WO-35721,0,Visual Defect,0.9994,Evening
1811,GA-1,STN-06,2026/03/10 21:05,148def,BOM-3,40.2Nm,177.3F,9.7 bar,64.02,Repair,AUTO,TL-023,SUP-09,BAP1XM7CDTYJYHCSG,WO-51093,0,Temperature High,0.967,Morning
1812, Ga-2 ,STN-03,10-03-2026 21:05,128def,BOM-1,,,6.5 bar,72.12,REP,AUTO,TL-002,sup-02,ZMJ5Z0PH3ZGH9ZJ04,WO-85111,0,Visual Defect,1.0075,Night
1813,GA-2, STN-03 ,2026-03-10 21:06,664-ghi,BOM-3,51.4 Nm,69.8C,142.9psi,59.74,REJ,Automated,TL-006,SUP-09,LWYSNYWN8PGR4R29G,WO-56824,0,Leak Detected,1.0004,Evening
1814,GA-2,STN-03,2026/03/10 21:06,642-def,BOM-2,50.0,171.7F,155.2psi,50.73,,AUTO,TL-024,sup-09,E5XD1SPH3K4CX6SF2,WO-49208,1,Torque Out of Spec,1.0043,Morning
1815,ga-1,stn-05,10-03-2026 21:07,911abc,BOM-1,50.9Nm,87.3,11.1 bar,57.37,OK,AUTO,TL-003,SUP-09,938119V3HZVKNJV,WO-10190,0,Visual Defect,1.0195,Morning
1816,ga-1, STN-01 ,2026/03/10 21:07,826-DEF,BOM-1,47.7Nm,81.9C,125.8psi,51.61,Repair,Human,TL-013,SUP-01,2J6DBSV86KUYX,WO-47347,0,,0.9895,Morning
1817,GA-1,STN-06,10-03-2026 21:08,587DEF,BOM-3,53.3 Nm,74.7C,9.6 bar,60.69,None,AUTO,TL-007,sup-09,1T7A7EEAV5JBWKN56,WO-12187,1,Leak Detected,0.9942,Morning
1818,GA-1, STN-03 ,10-03-2026 21:08,965-def,BOM-1,54.7 Nm,74.3C,11.5 bar,57.23,Repair,automated,TL-024,sup-01,8ADZ1ESXGP63G8Y2K,WO-46688,0,Torque Out of Spec,0.9794,Night
1819, Ga-1 ,stn-05,2026/03/10 21:09,849ABC,BOM-1,52.4Nm,187.4F,143.7psi,54.87,Repair,Automated,TL-018,SUP-02,BWLUMYN8ZUU6J5E9D,WO-74092,0,Leak Detected,1.0039,Night
1820,GA-2,stn-01,2026/03/10 21:09,200abc,BOM-3,48.7,56.0,7.7 bar,64.66,OK,Human,TL-019,sup-09,INVALID179,WO-83589,1,,1.0033,Night
1821,ga-2,STN-06,10-03-2026 21:10,654-ghi,BOM-3,39.5 Nm,88.0,11.9 bar,75.79,Repair,Human,TL-002,SUP-09,D16HZ0N12V32A9PVT,WO-75920,0,Visual Defect,0.9948,Evening
1822, Ga-2 , STN-04 ,2026/03/10 21:10,774def,BOM-1,53.8Nm,61.3,9.7 bar,63.28,,Automated,TL-004,SUP-02,9A4P83G5CVDVYU89A,WO-57854,0,,1.0149,Morning
1823, Ga-1 ,stn-02,2026/03/10 21:11,527-ghi,BOM-2,56.1 Nm,150.5F,11.6 bar,73.44,REJ,human,TL-020,SUP-02,JZSWWAT6L9C9DX4RX,WO-59878,0,Leak Detected,0.9793,Evening
1824,ga-2,STN-02,2026/03/10 21:11,936-abc,BOM-2,53.2Nm,74.9C,7.9 bar,75.79,REJ,automated,TL-006,sup-09,FW0NKR3FYUS8BSP13,WO-93301,0,Torque Out of Spec,1.0025,Morning
1825,ga-1,STN-07,2026-03-10 21:12,575ABC,BOM-1,45.6Nm,101.7C,142.4psi,54.13,REJ,automated,TL-011,SUP-02,WN1XD9KC4BPW5F3FC,WO-41916,0,Visual Defect,1.012,Night
1826,GA-2, STN-02 ,2026-03-10 21:12,487abc,BOM-1,53.4,96.8,10.8 bar,62.75,,Human,TL-003,sup-01,0XJM1LP6,WO-80219,0,Visual Defect,0.9892,Evening
1827, Ga-2 , STN-02 ,2026/03/10 21:13,342ghi,BOM-1,54.3Nm,188.7F,9.9 bar,55.75,,Human,TL-001,sup-09,BK01EKMUEXTHMREJA,WO-43433,0,Visual Defect,0.9725,Night
1828,GA-1,STN-07,2026/03/10 21:13,165def,BOM-3,57.8Nm,182.4F,8.2 bar,45.18,REJ,automated,TL-018,SUP-01,5LJTLLWRFDMFC8SVX,WO-39623,1,Torque Out of Spec,0.9661,Morning
1829,ga-2, STN-03 ,2026/03/10 21:14,937def,BOM-1,45.6,61.4 c,6.4 bar,63.56,Repair,human,TL-005,sup-01,SMYTUW5JD3M0DR75V,WO-62670,0,,1.0031,Night
1830,ga-2,STN-04,10-03-2026 21:14,,BOM-1,48.9 Nm,81.6,12.3 bar,49.48,,AUTO,TL-005,sup-01,HV166BF3PDU6RG4T6,WO-77043,0,,1.0339,Night
1831,ga-1,stn-05,2026/03/10 21:15,425-ABC,BOM-2,53.7Nm,166.1F,150.4psi,64.84,None,HUMAN,TL-021,sup-02,TC1LC1WSZN1W38EW9,WO-44938,0,Torque Out of Spec,0.9878,Evening
1832, Ga-2 , STN-03 ,10-03-2026 21:15,373-ABC,BOM-1,50.3,71.8C,11.8 bar,44.44,REJ,HUMAN,TL-018,sup-01,NU98BZMP2HF2YSUU3,WO-62339,0,Leak Detected,1.009,Morning
1833,GA-2, STN-01 ,2026-03-10 21:16,826-DEF,BOM-3,44.4,81.5,165.2psi,61.71,REJ,Automated,TL-006,SUP-01,9LKJSBN3BVN7RWM,WO-98895,0,Torque Out of Spec,0.9515,Evening
1834, Ga-1 , STN-02 ,2026/03/10 21:16,146GHI,BOM-3,52.1Nm,,10.9 bar,44.29,Repair,AUTO,TL-021,sup-09,TL5VR95VJKZH1G2MG,WO-27087,0,,1.0075,Morning
1835,ga-1,STN-01,2026-03-10 21:17,382abc,BOM-2,52.9 Nm,88.7,9.5 bar,66.74,na,Automated,TL-024,SUP-09,LNC3990U63NLTEFNX,WO-67473,0,Visual Defect,0.9782,Morning
1836,GA-2,stn-06,2026/03/10 21:17,561GHI,BOM-1,50.4Nm,141.2F,10.7 bar,56.07,,Automated,TL-010,sup-01,0M0D3RMDCXMLWMYJY,WO-32763,0,Visual Defect,0.9921,Evening
1837,ga-2,STN-02,2026/03/10 21:18,397DEF,BOM-1,51.1,80.8 c,176.2psi,55.1,Reject,automated,TL-011,SUP-01,D940WDLMV5603YS8C,WO-91878,0,Temperature High,1.0016,Night
1838, Ga-2 , STN-02 ,10-03-2026 21:18,466-DEF,BOM-3,48.7,71.2C,10.1 bar,71.27,Reject,HUMAN,TL-016,SUP-01,6783XEG6CW715BDV5,WO-38965,0,Torque Out of Spec,0.9668,Night
1839,GA-2,STN-05,10-03-2026 21:19,649DEF,BOM-2,57.4 Nm,168.6F,12.9 bar,56.78,Reject,Human,TL-004,SUP-09,HS8MFYA5KTD1XUP8M,WO-68566,0,Temperature High,1.0629,Morning
1840,ga-2,stn-03,2026-03-10 21:19,946-DEF,BOM-2,45.5Nm,83.0 c,7.8 bar,61.11,Reject,HUMAN,TL-022,sup-09,ATMVM85T,WO-38801,0,Torque Out of Spec,0.9879,Night
1841,GA-2,STN-01,10-03-2026 21:20,888-GHI,BOM-1,47.1 Nm,155.9F,7.6 bar,58.01,OK,human,TL-004,SUP-09,R80ASJUCF2KN7SW0X,WO-42785,0,,1.0121,Evening
1842, Ga-1 ,STN-06,2026-03-10 21:20,627GHI,BOM-3,50.1 Nm,81.6C,11.5 bar,65.07,None,Automated,TL-019,sup-02,JDF6Y4BT0KKPJVUTP,WO-25749,0,Torque Out of Spec,1.0299,Evening
